animal_name,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,tail,domestic,catsize,legs,type,class_name
aardvark,1,0,0,1,0,0,1,1,1,1,0,0,0,0,1,4,1,mammal
antelope,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,4,1,mammal
bass,0,0,1,0,0,1,1,1,1,0,0,1,1,0,0,0,4,fish
bear,1,0,0,1,0,0,1,1,1,1,0,0,0,0,1,4,1,mammal
boar,1,0,0,1,0,0,1,1,1,1,0,0,1,0,1,4,1,mammal
buffalo,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,4,1,mammal
calf,1,0,0,1,0,0,0,1,1,1,0,0,1,1,1,4,1,mammal
carp,0,0,1,0,0,1,0,1,1,0,0,1,1,1,0,0,4,fish
catfish,0,0,1,0,0,1,1,1,1,0,0,1,1,0,0,0,4,fish
cavy,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,4,1,mammal
cheetah,1,0,0,1,0,0,1,1,1,1,0,0,1,0,1,4,1,mammal
chicken,0,1,1,0,1,0,0,0,1,1,0,0,1,1,0,2,2,bird
chub,0,0,1,0,0,1,1,1,1,0,0,1,1,0,0,0,4,fish
clam,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7,invertebrate
crab,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,4,7,invertebrate
crayfish,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,6,7,invertebrate
crow,0,1,1,0,1,0,1,0,1,1,0,0,1,0,0,2,2,bird
deer,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,4,1,mammal
dogfish,0,0,1,0,0,1,1,1,1,0,0,1,1,0,1,0,4,fish
dolphin,0,0,0,1,0,1,1,1,1,1,0,1,1,0,1,0,1,mammal
dove,0,1,1,0,1,0,0,0,1,1,0,0,1,1,0,2,2,bird
duck,0,1,1,0,1,1,0,0,1,1,0,0,1,0,0,2,2,bird
elephant,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,4,1,mammal
flamingo,0,1,1,0,1,0,0,0,1,1,0,0,1,0,1,2,2,bird
flea,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,6,6,insect
frog,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,4,5,amphibian
frog,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,4,5,amphibian
fruitbat,1,0,0,1,1,0,0,1,1,1,0,0,1,0,0,2,1,mammal
giraffe,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,4,1,mammal
girl,1,0,0,1,0,0,1,1,1,1,0,0,0,1,1,2,1,mammal
gnat,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,6,6,insect
goat,1,0,0,1,0,0,0,1,1,1,0,0,1,1,1,4,1,mammal
gorilla,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,2,1,mammal
gull,0,1,1,0,1,1,1,0,1,1,0,0,1,0,0,2,2,bird
haddock,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,0,4,fish
hamster,1,0,0,1,0,0,0,1,1,1,0,0,1,1,0,4,1,mammal
hare,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,4,1,mammal
hawk,0,1,1,0,1,0,1,0,1,1,0,0,1,0,0,2,2,bird
herring,0,0,1,0,0,1,1,1,1,0,0,1,1,0,0,0,4,fish
honeybee,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,6,6,insect
housefly,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,6,6,insect
kiwi,0,1,1,0,0,0,1,0,1,1,0,0,1,0,0,2,2,bird
ladybird,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,6,6,insect
lark,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,2,2,bird
leopard,1,0,0,1,0,0,1,1,1,1,0,0,1,0,1,4,1,mammal
lion,1,0,0,1,0,0,1,1,1,1,0,0,1,0,1,4,1,mammal
lobster,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,6,7,invertebrate
lynx,1,0,0,1,0,0,1,1,1,1,0,0,1,0,1,4,1,mammal
mink,1,0,0,1,0,1,1,1,1,1,0,0,1,0,1,4,1,mammal
mole,1,0,0,1,0,0,1,1,1,1,0,0,1,0,0,4,1,mammal
mongoose,1,0,0,1,0,0,1,1,1,1,0,0,1,0,1,4,1,mammal
moth,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,6,6,insect
newt,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0,4,5,amphibian
octopus,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,8,7,invertebrate
opossum,1,0,0,1,0,0,1,1,1,1,0,0,1,0,0,4,1,mammal
oryx,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,4,1,mammal
ostrich,0,1,1,0,0,0,0,0,1,1,0,0,1,0,1,2,2,bird
parakeet,0,1,1,0,1,0,0,0,1,1,0,0,1,1,0,2,2,bird
penguin,0,1,1,0,0,1,1,0,1,1,0,0,1,0,1,2,2,bird
pheasant,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,2,2,bird
pike,0,0,1,0,0,1,1,1,1,0,0,1,1,0,1,0,4,fish
piranha,0,0,1,0,0,1,1,1,1,0,0,1,1,0,0,0,4,fish
pitviper,0,0,1,0,0,0,1,1,1,1,1,0,1,0,0,0,3,reptile
platypus,1,0,1,1,0,1,1,0,1,1,0,0,1,0,1,4,1,mammal
polecat,1,0,0,1,0,0,1,1,1,1,0,0,1,0,1,4,1,mammal
pony,1,0,0,1,0,0,0,1,1,1,0,0,1,1,1,4,1,mammal
porpoise,0,0,0,1,0,1,1,1,1,1,0,1,1,0,1,0,1,mammal
puma,1,0,0,1,0,0,1,1,1,1,0,0,1,0,1,4,1,mammal
pussycat,1,0,0,1,0,0,1,1,1,1,0,0,1,1,1,4,1,mammal
raccoon,1,0,0,1,0,0,1,1,1,1,0,0,1,0,1,4,1,mammal
reindeer,1,0,0,1,0,0,0,1,1,1,0,0,1,1,1,4,1,mammal
rhea,0,1,1,0,0,0,1,0,1,1,0,0,1,0,1,2,2,bird
scorpion,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,8,7,invertebrate
seahorse,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,0,4,fish
seal,1,0,0,1,0,1,1,1,1,1,0,1,0,0,1,0,1,mammal
sealion,1,0,0,1,0,1,1,1,1,1,0,1,1,0,1,2,1,mammal
seasnake,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,3,reptile
seawasp,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,7,invertebrate
skimmer,0,1,1,0,1,1,1,0,1,1,0,0,1,0,0,2,2,bird
skua,0,1,1,0,1,1,1,0,1,1,0,0,1,0,0,2,2,bird
slowworm,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,3,reptile
slug,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7,invertebrate
sole,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,0,4,fish
sparrow,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,2,2,bird
squirrel,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,2,1,mammal
starfish,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,5,7,invertebrate
stingray,0,0,1,0,0,1,1,1,1,0,1,1,1,0,1,0,4,fish
swan,0,1,1,0,1,1,0,0,1,1,0,0,1,0,1,2,2,bird
termite,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,6,6,insect
toad,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,4,5,amphibian
tortoise,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,4,3,reptile
tuatara,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,4,3,reptile
tuna,0,0,1,0,0,1,1,1,1,0,0,1,1,0,1,0,4,fish
vampire,1,0,0,1,1,0,0,1,1,1,0,0,1,0,0,2,1,mammal
vole,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,4,1,mammal
vulture,0,1,1,0,1,0,1,0,1,1,0,0,1,0,1,2,2,bird
wallaby,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,2,1,mammal
wasp,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,6,6,insect
wolf,1,0,0,1,0,0,1,1,1,1,0,0,1,0,1,4,1,mammal
worm,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7,invertebrate
wren,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,2,2,bird
